game name,level number,steps,win,score
portals,0,198,False,0
portals,0,11,False,0
portals,0,43,False,0
portals,0,115,False,0
portals,0,11,False,0
portals,0,11,False,0
portals,0,333,False,0
portals,0,54,False,0
portals,0,32,False,0
portals,0,90,False,0
portals,0,401,False,0
portals,0,327,False,0
portals,0,55,False,0
portals,0,185,False,0
portals,0,141,False,0
portals,0,130,False,0
portals,0,40,False,0
portals,0,339,False,0
portals,0,93,False,0
portals,0,139,False,0
portals,0,58,False,0
portals,0,75,False,0
portals,0,169,False,0
portals,0,11,False,0
portals,0,162,False,0
portals,0,90,False,0
portals,0,103,False,0
portals,0,40,False,0
portals,0,194,False,0
portals,0,43,False,0
portals,0,45,False,0
portals,0,193,False,0
portals,0,323,False,0
portals,0,60,False,0
portals,0,221,False,0
portals,0,353,False,0
portals,0,147,False,0
portals,0,43,False,0
portals,0,26,False,0
portals,0,149,False,0
portals,0,168,False,0
portals,0,373,False,0
portals,0,83,False,0
portals,0,285,False,0
portals,0,217,False,0
portals,0,89,False,0
portals,0,401,False,0
portals,0,11,False,0
portals,0,194,False,0
portals,0,109,False,0
portals,0,107,False,0
portals,0,75,False,0
portals,0,401,False,0
portals,0,304,False,0
portals,0,190,False,0
portals,0,58,False,0
portals,0,58,False,0
portals,0,117,False,0
portals,0,43,False,0
portals,0,151,False,0
portals,0,211,False,0
portals,0,18,False,0
portals,0,126,False,0
portals,0,279,False,0
portals,0,130,False,0
portals,0,208,False,0
portals,0,75,False,0
portals,0,299,False,0
portals,0,95,False,0
portals,0,11,False,0
portals,0,317,False,0
portals,0,95,False,0
portals,0,43,False,0
portals,0,11,False,0
portals,0,25,False,0
portals,0,77,False,0
portals,0,43,False,0
portals,0,250,False,0
portals,0,194,False,0
portals,0,164,False,0
portals,0,87,False,0
portals,0,62,False,0
portals,0,270,False,0
portals,0,51,False,0
portals,0,101,False,0
portals,0,104,False,0
portals,0,121,False,0
portals,0,99,False,0
portals,0,28,False,0
portals,0,43,False,0
portals,0,401,False,0
portals,0,28,False,0
portals,0,266,False,0
portals,0,19,False,0
portals,0,23,False,0
portals,0,43,False,0
portals,0,54,False,0
portals,0,401,False,0
portals,0,327,False,0
portals,0,48,False,0
portals,0,11,False,0
portals,0,57,False,0
portals,0,151,False,0
portals,0,11,False,0
portals,0,44,False,0
portals,0,41,False,0
portals,0,91,False,0
portals,0,101,False,0
portals,0,103,False,0
portals,0,122,False,0
portals,0,208,False,0
portals,0,139,False,0
portals,0,129,False,0
portals,0,38,False,0
portals,0,11,False,0
portals,0,183,False,0
portals,0,11,False,0
portals,0,115,False,0
portals,0,40,False,0
portals,0,55,False,0
portals,0,57,False,0
portals,0,153,False,0
portals,0,43,False,0
portals,0,171,False,0
portals,0,11,False,0
portals,0,157,False,0
portals,0,185,False,0
portals,0,62,False,0
portals,0,401,False,0
portals,0,43,False,0
portals,0,26,False,0
portals,0,56,False,0
portals,0,179,False,0
portals,0,75,False,0
portals,0,34,False,0
portals,0,11,False,0
portals,0,43,False,0
portals,0,175,False,0
portals,0,118,False,0
portals,0,57,False,0
portals,0,25,False,0
portals,0,11,False,0
portals,0,73,False,0
portals,0,43,False,0
